symbol,name,weight
BK,BANK OF NEW YORK MELLON CORP,0.129654
USB,US BANCORP,0.126817
PYPL,PAYPAL HOLDINGS INC,0.126119
TDG,TRANSDIGM GROUP INC,0.125946
ECL,ECOLAB INC,0.124536
JCI,JOHNSON CONTROLS INTERNATION,0.123042
HCA,HCA HEALTHCARE INC,0.121078
FI,FISERV INC,0.119252
CTAS,CINTAS CORP,0.118086
GLW,CORNING INC,0.117685
AZO,AUTOZONE INC,0.116918
ITW,ILLINOIS TOOL WORKS,0.116264
CSX,CSX CORP,0.11621
ADSK,AUTODESK INC,0.115563
NSC,NORFOLK SOUTHERN CORP,0.115392
TEL,TE CONNECTIVITY PLC,0.114995
PWR,QUANTA SERVICES INC,0.114484
VST,VISTRA CORP,0.114071
URI,UNITED RENTALS INC,0.110965
TRV,TRAVELERS COS INC/THE,0.110371
UPS,UNITED PARCEL SERVICE CL B,0.110322
ZTS,ZOETIS INC,0.110271
AEP,AMERICAN ELECTRIC POWER,0.109978
CL,COLGATE PALMOLIVE CO,0.109314
FCX,FREEPORT MCMORAN INC,0.106678
HLT,HILTON WORLDWIDE HOLDINGS IN,0.106049
SRE,SEMPRA,0.106038
EOG,EOG RESOURCES INC,0.105073
MAR,MARRIOTT INTERNATIONAL  CL A,0.104693
CMI,CUMMINS INC,0.104671
COR,CENCORA INC,0.104402
APD,AIR PRODUCTS + CHEMICALS INC,0.103647
SPG,SIMON PROPERTY GROUP INC,0.100894
LHX,L3HARRIS TECHNOLOGIES INC,0.09986
APO,APOLLO GLOBAL MANAGEMENT INC,0.099581
REGN,REGENERON PHARMACEUTICALS,0.099574
MPC,MARATHON PETROLEUM CORP,0.099473
AXON,AXON ENTERPRISE INC,0.099021
TFC,TRUIST FINANCIAL CORP,0.098683
NXPI,NXP SEMICONDUCTORS NV,0.098626
FTNT,FORTINET INC,0.097625
ROP,ROPER TECHNOLOGIES INC,0.097393
ALL,ALLSTATE CORP,0.09701
DLR,DIGITAL REALTY TRUST INC,0.096818
BDX,BECTON DICKINSON AND CO,0.096807
KMI,KINDER MORGAN INC,0.095398
CMG,CHIPOTLE MEXICAN GRILL INC,0.095264
FAST,FASTENAL CO,0.094607
O,REALTY INCOME CORP,0.093538
AFL,AFLAC INC,0.093377
GM,GENERAL MOTORS CO,0.093098
PSX,PHILLIPS 66,0.09199
DDOG,DATADOG INC   CLASS A,0.091963
FDX,FEDEX CORP,0.09027
D,DOMINION ENERGY INC,0.089948
ABNB,AIRBNB INC CLASS A,0.089263
WDAY,WORKDAY INC CLASS A,0.089209
SLB,SLB LTD,0.087861
PCAR,PACCAR INC,0.087523
VLO,VALERO ENERGY CORP,0.087476
IDXX,IDEXX LABORATORIES INC,0.087378
DELL,DELL TECHNOLOGIES  C,0.086244
ROST,ROSS STORES INC,0.086189
MNST,MONSTER BEVERAGE CORP,0.084918
XEL,XCEL ENERGY INC,0.0839
CARR,CARRIER GLOBAL CORP,0.08304
STX,SEAGATE TECHNOLOGY HOLDINGS,0.082703
MPWR,MONOLITHIC POWER SYSTEMS INC,0.081921
BKR,BAKER HUGHES CO,0.081773
EXC,EXELON CORP,0.081612
AIG,AMERICAN INTERNATIONAL GROUP,0.080657
PSA,PUBLIC STORAGE,0.080231
AMP,AMERIPRISE FINANCIAL INC,0.080095
F,FORD MOTOR CO,0.079547
MET,METLIFE INC,0.079424
RSG,REPUBLIC SERVICES INC,0.079266
OKE,ONEOK INC,0.079104
EA,ELECTRONIC ARTS INC,0.078049
TTWO,TAKE TWO INTERACTIVE SOFTWRE,0.077556
XYZ,BLOCK INC,0.07726
CBRE,CBRE GROUP INC   A,0.077074
EW,EDWARDS LIFESCIENCES CORP,0.077074
WBD,WARNER BROS DISCOVERY INC,0.076775
MSCI,MSCI INC,0.07648
DHI,DR HORTON INC,0.076253
ETR,ENTERGY CORP,0.074781
CTVA,CORTEVA INC,0.074295
GWW,WW GRAINGER INC,0.073967
GRMN,GARMIN LTD,0.073665
AME,AMETEK INC,0.073618
CCI,CROWN CASTLE INC,0.073218
EBAY,EBAY INC,0.072932
WDC,WESTERN DIGITAL CORP,0.072852
KR,KROGER CO,0.071809
RMD,RESMED INC,0.071639
PEG,PUBLIC SERVICE ENTERPRISE GP,0.071206
TGT,TARGET CORP,0.071169
PAYX,PAYCHEX INC,0.070867
NDAQ,NASDAQ INC,0.070604
FICO,FAIR ISAAC CORP,0.070508
YUM,YUM  BRANDS INC,0.070239
VMC,VULCAN MATERIALS CO,0.070213
A,AGILENT TECHNOLOGIES INC,0.069312
CPRT,COPART INC,0.069115
KMB,KIMBERLY CLARK CORP,0.068792
ROK,ROCKWELL AUTOMATION INC,0.067836
MLM,MARTIN MARIETTA MATERIALS,0.066485
